,,SUBJECT 01,SUBJECT 02,SUBJECT 03,SUBJECT 04,,,,,,,,,,,,,,,,,,,,
PART I: BACKGROUND,,,,,,,,,,,,,,,,,,,,,,,,,
1,What is your age range?,26-30,26-30,22-25,>30,,,,,,,,,,,,,,,,,,,,
2,What is your gender?,MALE,MALE,FEMALE,MALE,,,,,,,,,,,,,,,,,,,,
3,What is your major?,Computer Science,Computer Science,Computer Science,Computer Science,,,,,,,,,,,,,,,,,,,,
4,Approximately how many years of college experience do you have?,9,10,5,10,,,,,,,,,,,,,,,,,,,,
5,Approximately how many years of computer programming experience do you have?,12,6,5,10,,,,,,,,,,,,,,,,,,,,
6,How many years of experience do you have with the Java programming language?,7,6,1,3,,,,,,,,,,,,,,,,,,,,
Part II: Experience with discussion forums or boards,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Prior to this study, were you familiar with discussion forums?",YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,
8,"Are you familiar with Question & Answers sites such as StackOverflow, Yahoo! Answers, etc?",YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,
9,"If you had experience with discussion forums before, indicate your interaction with them:",,,,,,,,,,,,,,,,,,,,,,,,
,Browsed questions and answers,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,
,Created questions,YES,YES,NO,NO,,,,,,,,,,,,,,,,,,,,
,Submitted an answer,YES,YES,NO,NO,,,,,,,,,,,,,,,,,,,,
,Voted on answers,YES,YES,NO,NO,,,,,,,,,,,,,,,,,,,,
,Voted on questions,NO,YES,NO,NO,,,,,,,,,,,,,,,,,,,,
,Viewed their leaderboard,NO,YES,NO,NO,,,,,,,,,,,,,,,,,,,,
,Created an account,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,
10,Have you used discussion forums on any of your classes before?,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,
11,"If you have used discussion forums on any of your classes before, do you agree they were helpful?",A,N,D,,,,,,,,,,,,,,,,,,,,,
12,"If you have NOT used discussion forums for any of your classes before, do you agree you would find them helpful?",,,,A,,,,,,,,,,,,,,,,,,,,
Part III: Using MicroBrowser,,,,,,,,,,,,,,,,,,,,,,,,,
13,It was easy to find discussions using the MicroBrowser application.,A,N,A,N,,,,,,,,,,,,,,,,,,,,
14,It was easy to find related discussions using the MicroBrowser application.,SA,A,SA,A,,,,,,,,,,,,,,,,,,,,
15,It was easy to understand the concept of Design Patterns and how they are associated to discussions when using the MicroBrowser application.,D,N,SA,D,,,,,,,,,,,,,,,,,,,,
16,It was easy to find popular discussions using the MicroBrowser application.,A,A,A,SA,,,,,,,,,,,,,,,,,,,,
17,It was easy to find answered and unanswered questions using the MicroBrowser application.,SA,N,N,A,,,,,,,,,,,,,,,,,,,,
18,Using design patterns made finding related discussions easier when using the MicroBrowser application.,3,4,5,3,3.5,,,,,,,,,,,,,,,,,,,
19,Using different colors to demonstrate popularity was easy to understand when using the MicroBrowser application.,SA,SA,SA,A,,,,,,,,,,,,,,,,,,,,
20,Using different sizes to show answer counts was easy to understand when using the MicroBrowser application.,SA,SA,SA,A,,,,,,,,,,,,,,,,,,,,
21,Having pattern information can help me to learn how to write my questions,4,3,5,3,,,,,,,,,,,,,,,,,,,,
22,Having pattern information can help me to learn how to answer questions,4,3,5,4,,,,,,,,,,,,,,,,,,,,
23,Having pattern information can motivate me to answer questions?,N,D,SA,A,,,,,,,,,,,,,,,,,,,,
24,"Did you use the keyword search and filter feature of MicroBrowser?  If yes, please answer the question below.  If not, why you did not use this function?",YES,YES,,,,,,,,,,,,,,,,,,,,,,
25,I feel the “keyword search and filter feature” function in MicroBrowser is:,,,,,,,,,,,,,,,,,,,,,,,,
,Useful,5,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to Understand,4,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to Learn,4,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to notice,4,4,5,5,,,,,,,,,,,,,,,,,,,,
,Works as Expected,3,4,3,4,,,,,,,,,,,,,,,,,,,,
26,"Did you use the “start and end date filter” function of MicroBrowser?  If yes, please answer the question below.  If not, why you did not use this function?",YES,YES,,,,,,,,,,,,,,,,,,,,,,
27,I feel the “start and end date filter”  function in MicroBrowser is:,,,,,,,,,,,,,,,,,,,,,,,,
,Useful,5,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to Understand,5,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to Learn,5,5,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to notice,4,5,5,5,,,,,,,,,,,,,,,,,,,,
,Works as Expected,4,5,5,5,,,,,,,,,,,,,,,,,,,,
28,"Did you use the “pattern associations to discussion threads” feature of MicroBrowser?  If yes, please answer the question below.  If not, why you did not use this function?",YES,YES,,,,,,,,,,,,,,,,,,,,,,
29,I feel the “pattern associations to discussion threads” function in MicroBrowser is:,,,,,,,,,,,,,,,,,,,,,,,,
,Useful,4,4,5,5,,,,,,,,,,,,,,,,,,,,
,Easy to Understand,D,D,A,N,,,,,,,,,,,,,,,,,,,,
,Easy to Learn,A,D,A,N,,,,,,,,,,,,,,,,,,,,
,Easy to notice,N,A,A,A,,,,,,,,,,,,,,,,,,,,
,Works as Expected,N,N,A,N,,,,,,,,,,,,,,,,,,,,
30,"Did you use the “discussion details view” feature of MicroBrowser?  If yes, please answer the question below.  If not, why you did not use this function?",YES,YES,,,,,,,,,,,,,,,,,,,,,,
31,I feel the “discussion details view” function in MicroBrowser is:,,,,,,,,,,,,,,,,,,,,,,,,
,Useful,SA,SA,SA,A,,,,,,,,,,,,,,,,,,,,
,Easy to Understand,A,SA,SA,SA,,,,,,,,,,,,,,,,,,,,
,Easy to Learn,A,A,SA,SA,,,,,,,,,,,,,,,,,,,,
,Easy to notice,N,SA,A,SA,,,,,,,,,,,,,,,,,,,,
,Works as Expected,A,SA,SA,SA,,,,,,,,,,,,,,,,,,,,
32,"Overall, I found the MicroProbe application easy to use.",,,SA,A,,,,,,,,,,,,,,,,,,,,
Part IV: Comparing traditional Q&A site with MicroBrowser,,,,,,,,,,,,,,,,,,,,,,,,,
33,I found it easier to use MicroBrowser that the traditional Q&A Site.,N,N,SA,N,,,,,,,,,,,,,,,,,,,,
34,Finding questions on MicroBrowser is easier than the traditional Q&A Site.,D,N,A,A,,,,,,,,,,,,,,,,,,,,
35,Finding unanswered questions on MicroBrowser is easier than the traditional Q&A Site.,A,N,SA,A,,,,,,,,,,,,,,,,,,,,
36,Finding answered questions on MicroBrowser is easier than the traditional Q&A Site.,N,A,SA,A,,,,,,,,,,,,,,,,,,,,
37,Finding questions based on time on MicroBrowser is easier than the traditional Q&A Site.,SA,A,SA,A,,,,,,,,,,,,,,,,,,,,
38,I would consider MicroBrowser to be an improvement to the traditional Q&A Site.,N,A,SA,N,,,,,,,,,,,,,,,,,,,,
Part V: Using MicroBrowser in an education setting.,,,,,,,,,,,,,,,,,,,,,,,,,
39,I would like to be able to use MicroBrowser in one of my courses.,D,A,A,A,,,,,,,,,,,,,,,,,,,,
40,Using MicroBrowser in a course can help with knowledge sharing between classmates.,N,A,A,A,,,,,,,,,,,,,,,,,,,,
41,"Using MicroBrowser in a course can help with knowledge creation, for example, by creating new patterns, questions or answers.",N,A,A,A,,,,,,,,,,,,,,,,,,,,
42,Using MicroBrowser in a course would motivate me to ask more questions.,A,N,A,N,,,,,,,,,,,,,,,,,,,,
43,Using MicroBrowser in a course would motivate me to answer questions.,A,N,SA,N,,,,,,,,,,,,,,,,,,,,
Part VI: Additional information,,,,,,,,,,,,,,,,,,,,,,,,,
44,What features in the MicroBrowser application did you like most?,"Date filter, visual graph","Time filter, size/color of each node represents its populatiry and # of answers","I like the overview feature, which provides a big picture between the questions of how they are related.",Overview,,,,,,,,,,,,,,,,,,,,
45,What features in the MicroBrowser application you did NOT like?,"Search reset a lot, double-clicking for detailed view (hard to remember)","I dont quite get how ""pattern browser"" works.  I think it is very useful but requires sometime to get used to it.","I dont like the detail view, for it does not directly list all answers.  I want to browse all answers at a time and I have to hover my mouse and click on each node.",Layout animation,,,,,,,,,,,,,,,,,,,,
46,What new features could be added to improve the MicroBrowser application?,"Simpler patterns, examples, guided tutorial","1. Shapes of answered/unanswered questions may need to be differentiated more instead of ""diamond"" and ""hexagon"" images
2. Search by keyword is dynamic and hence it was very slow when I tried it.
3. In discussion panel, only showing thread ""title"", ""keywords"" and ""answers"" should be enough.",I wish there were more inter-question features regarding the smilarities.  this is one thing that web-based systems can not do.,"Some of the visualizations is not very intuitive.  I guess there is some scope of improvements to clearly represent different things such as patterns, discussion nodes, etc",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
